"Accession","cluster","chrm","region","product","product_category","backbone_locus_tag","backbone_gene","bb_type"
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"NRPS-like","NRPS","3510_Z1__g000041","3510_Z1__g000041","NRPS-like"
"NRRL3510","3510_Z1_len5549732.region002","3510_Z1_len5549732",2,"NI-siderophore","other","3510_Z1__g000182--FGSG_11242..FSPOR_4336","3510_Z1__g000182--FGSG_11242..FSPOR_4336","NI-siderophore"
"NRRL3510","3510_Z1_len5549732.region003","3510_Z1_len5549732",3,"T1PKS","PKS","3510_Z1__g000723--FSPOR_9810","3510_Z1__g000723--FSPOR_9810","T1PKS"
"NRRL3510","3510_Z1_len5549732.region004","3510_Z1_len5549732",4,"NRPS;isocyanide-nrp","NRPS","3510_Z1__g000955--FGSG_03736..FSPOR_1142//CDR1_3//NPS6","3510_Z1__g000955--FGSG_03736..FSPOR_1142//3510_Z1__g000956--FGSG_03735..FSPOR_1141//3510_Z1__g000943--FGSG_03747..FSPOR_1154","isocyanide-nrp//isocyanide-nrp//NRPS"
"NRRL3510","3510_Z1_len5549732.region005","3510_Z1_len5549732",5,"terpene","terpene","TRI5","3510_Z1__g001160--FGSG_03537..FSPOR_6147","terpene"
"NRRL3510","3510_Z1_len5549732.region006","3510_Z1_len5549732",6,"terpene","terpene","3510_Z1__g001202--FGSG_03494..FSPOR_1934","3510_Z1__g001202--FGSG_03494..FSPOR_1934","terpene"
"NRRL3510","3510_Z1_len5549732.region007","3510_Z1_len5549732",7,"T1PKS","PKS","GPY1","3510_Z1__g001355--FGSG_03340..FSPOR_3725","T1PKS"
"NRRL3510","3510_Z1_len5549732.region008","3510_Z1_len5549732",8,"NRPS-like","NRPS","3510_Z1__g001434--FGSG_03257..FSPOR_5885","3510_Z1__g001434--FGSG_03257..FSPOR_5885","NRPS-like"
"NRRL3510","3510_Z1_len5549732.region009","3510_Z1_len5549732",9,"terpene","terpene","3510_Z1__g001605--FGSG_03066..FSPOR_4846","3510_Z1__g001605--FGSG_03066..FSPOR_4846","terpene"
"NRRL3510","3510_Z11_len902690.region001","3510_Z11_len902690",1,"fungal-RiPP-like","RiPP","3510_Z11__g008950--FGSG_01673..FSPOR_4922","3510_Z11__g008950--FGSG_01673..FSPOR_4922","fungal-RiPP-like"
"NRRL3510","3510_Z14_len754641.region001","3510_Z14_len754641",1,"T1PKS","PKS","3510_Z14__g009587--FGSG_08795..FSPOR_8627","3510_Z14__g009587--FGSG_08795..FSPOR_8627","T1PKS"
"NRRL3510","3510_Z16_len693917.region001","3510_Z16_len693917",1,"T1PKS","PKS","FSR1","3510_Z16__g009952--FGSG_09182..FSPOR_154","T1PKS"
"NRRL3510","3510_Z16_len693917.region002","3510_Z16_len693917",2,"terpene","terpene","ERG9","3510_Z16__g010152--FGSG_09381..FSPOR_6272","terpene"
"NRRL3510","3510_Z18_len629002.region001","3510_Z18_len629002",1,"NRPS","NRPS","APF1","3510_Z18__g010434--FSPOR_5258","NRPS"
"NRRL3510","3510_Z18_len629002.region002","3510_Z18_len629002",2,"NRPS-like","NRPS","3510_Z18__g010481--FGSG_10702..FSPOR_6465","3510_Z18__g010481--FGSG_10702..FSPOR_6465","NRPS-like"
"NRRL3510","3510_Z19_len628163.region001","3510_Z19_len628163",1,"fungal-RiPP-like;NRPS;T1PKS","PKS;RiPP;NRPS","3510_Z19__g010536--FGSG_04662..FSPOR_10239//3510_Z19__g010547--FGSG_02394..FSPOR_4542//ZEA1//ZEA2","3510_Z19__g010536--FGSG_04662..FSPOR_10239//3510_Z19__g010547--FGSG_02394..FSPOR_4542//3510_Z19__g010549--FGSG_02395..FSPOR_4540//3510_Z19__g010550--FGSG_12126..FSPOR_4539","fungal-RiPP-like//NRPS//T1PKS//T1PKS"
"NRRL3510","3510_Z19_len628163.region002","3510_Z19_len628163",2,"CDPS","NRPS","3510_Z19__g010576--FGSG_04615..FSPOR_4516","3510_Z19__g010576--FGSG_04615..FSPOR_4516","CDPS"
"NRRL3510","3510_Z19_len628163.region003","3510_Z19_len628163",3,"NRPS-like;NRPS","NRPS","3510_Z19__g010594--FGSG_10617..FSPOR_4494//3510_Z19__g010606--FGSG_11659..FSPOR_4481","3510_Z19__g010594--FGSG_10617..FSPOR_4494//3510_Z19__g010606--FGSG_11659..FSPOR_4481","NRPS-like//NRPS"
"NRRL3510","3510_Z2_len4194245.region001","3510_Z2_len4194245",1,"NRPS-like","NRPS","3510_Z2__g001987--FGSG_06462..FSPOR_389","3510_Z2__g001987--FGSG_06462..FSPOR_389","NRPS-like"
"NRRL3510","3510_Z2_len4194245.region002","3510_Z2_len4194245",2,"NRPS-like","NRPS","3510_Z2__g002024--FGSG_06507..FSPOR_3288","3510_Z2__g002024--FGSG_06507..FSPOR_3288","NRPS-like"
"NRRL3510","3510_Z2_len4194245.region003","3510_Z2_len4194245",3,"betalactone","other","3510_Z2__g002150--FGSG_06631..FSPOR_637//LEU4","3510_Z2__g002150--FGSG_06631..FSPOR_637//3510_Z2__g002147--FGSG_12952..FSPOR_635","betalactone//betalactone"
"NRRL3510","3510_Z2_len4194245.region004","3510_Z2_len4194245",4,"fungal-RiPP-like","RiPP","3510_Z2__g002590--FGSG_07066..FSPOR_9612","3510_Z2__g002590--FGSG_07066..FSPOR_9612","fungal-RiPP-like"
"NRRL3510","3510_Z22_len496714.region001","3510_Z22_len496714",1,"terpene","terpene","3510_Z22__g011117--FGSG_07673..FSPOR_1775","3510_Z22__g011117--FGSG_07673..FSPOR_1775","terpene"
"NRRL3510","3510_Z22_len496714.region002","3510_Z22_len496714",2,"NRPS","NRPS","BEA1","3510_Z22__g011177--FSPOR_1714","NRPS"
"NRRL3510","3510_Z22_len496714.region003","3510_Z22_len496714",3,"NRPS;T1PKS","PKS;NRPS","FUS1","3510_Z22__g011227--FGSG_07798..FSPOR_1668","NRPS;T1PKS"
"NRRL3510","3510_Z23_len376149.region001","3510_Z23_len376149",1,"NRPS-like","NRPS","3510_Z23__g011303--FSPOR_8561","3510_Z23__g011303--FSPOR_8561","NRPS-like"
"NRRL3510","3510_Z28_len238297.region001","3510_Z28_len238297",1,"NRPS;T1PKS","PKS;NRPS","3510_Z28__g011700//3510_Z28__g011708","3510_Z28__g011700//3510_Z28__g011708","NRPS//T1PKS"
"NRRL3510","3510_Z3_len3919170.region001","3510_Z3_len3919170",1,"T1PKS","PKS","3510_Z3__g003138--FSPOR_10061","3510_Z3__g003138--FSPOR_10061","T1PKS"
"NRRL3510","3510_Z3_len3919170.region002","3510_Z3_len3919170",2,"fungal-RiPP-like","RiPP","3510_Z3__g003220--FGSG_11471..FSPOR_8279","3510_Z3__g003220--FGSG_11471..FSPOR_8279","fungal-RiPP-like"
"NRRL3510","3510_Z3_len3919170.region003","3510_Z3_len3919170",3,"NRPS","NRPS","CHRY1","3510_Z3__g003294--FGSG_11395..FSPOR_8219","NRPS"
"NRRL3510","3510_Z3_len3919170.region004","3510_Z3_len3919170",4,"terpene","terpene","3510_Z3__g003377--FGSG_11327..FSPOR_9122","3510_Z3__g003377--FGSG_11327..FSPOR_9122","terpene"
"NRRL3510","3510_Z3_len3919170.region005","3510_Z3_len3919170",5,"NRPS","NRPS","3510_Z3__g003633--FGSG_11026..FSPOR_4638","3510_Z3__g003633--FGSG_11026..FSPOR_4638","NRPS"
"NRRL3510","3510_Z3_len3919170.region006","3510_Z3_len3919170",6,"NRPS;T1PKS","PKS;NRPS","3510_Z3__g003678--FSPOR_4592","3510_Z3__g003678--FSPOR_4592","T1PKS;NRPS"
"NRRL3510","3510_Z3_len3919170.region007","3510_Z3_len3919170",7,"NRPS-like","NRPS","LYS2","3510_Z3__g004339--FGSG_06041..FSPOR_9244","NRPS-like"
"NRRL3510","3510_Z4_len3872410.region001","3510_Z4_len3872410",1,"T1PKS","PKS","3510_Z4__g004584--FGSG_05794..FSPOR_5044","3510_Z4__g004584--FGSG_05794..FSPOR_5044","T1PKS"
"NRRL3510","3510_Z4_len3872410.region002","3510_Z4_len3872410",2,"NRP-metallophore;NRPS","NRPS","NPS2//SID1","3510_Z4__g005016--FGSG_05372..FSPOR_355//3510_Z4__g005017--FGSG_05371..FSPOR_356","NRPS;NRP-metallophore//NRP-metallophore"
"NRRL3510","3510_Z4_len3872410.region003","3510_Z4_len3872410",3,"NRPS;NRPS-like","NRPS","3510_Z4__g005046--FGSG_11988..FSPOR_3578//3510_Z4__g005053--FGSG_01680..FSPOR_3572","3510_Z4__g005046--FGSG_11988..FSPOR_3578//3510_Z4__g005053--FGSG_01680..FSPOR_3572","NRPS//NRPS-like"
"NRRL3510","3510_Z5_len2996132.region001","3510_Z5_len2996132",1,"terpene","terpene","3510_Z5__g006143--FGSG_00451..FSPOR_10181","3510_Z5__g006143--FGSG_00451..FSPOR_10181","terpene"
"NRRL3510","3510_Z5_len2996132.region002","3510_Z5_len2996132",2,"isocyanide","other","3510_Z5__g006497--FSPOR_8887","3510_Z5__g006497--FSPOR_8887","isocyanide"
"NRRL3510","3510_Z6_len1896649.region001","3510_Z6_len1896649",1,"T1PKS;NRPS;isocyanide","other;PKS;NRPS","3510_Z6__g006606--FGSG_02315..FSPOR_6887//3510_Z6__g006617--FSPOR_6875//PKS12","3510_Z6__g006606--FGSG_02315..FSPOR_6887//3510_Z6__g006617--FSPOR_6875//3510_Z6__g006599--FGSG_02324..FSPOR_6894","NRPS//isocyanide//T1PKS"
