"Accession","chrm","region","locus_tag","gene","start_end_strand","excluded_from_cluster","cluster"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000684--FGSG_05333..FSPOR_3567","3249_Z1__g000684--FGSG_05333..FSPOR_3567","4146..4878","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000685--FGSG_05334..FSPOR_3568","3249_Z1__g000685--FGSG_05334..FSPOR_3568","5473..7256","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000686--FGSG_05335..FSPOR_3569","3249_Z1__g000686--FGSG_05335..FSPOR_3569","complement(7277..8498)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"MAK5","3249_Z1__g000687--FGSG_05336..FSPOR_3570","complement(9281..11677)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"MLP1","3249_Z1__g000688--FGSG_05337..FSPOR_3571","complement(12367..18623)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000689--FGSG_01680..FSPOR_3572","3249_Z1__g000689--FGSG_01680..FSPOR_3572","complement(20001..25053)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000690--FGSG_01681..FSPOR_3573","3249_Z1__g000690--FGSG_01681..FSPOR_3573","25799..27836","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000691--FGSG_11984..FSPOR_3574","3249_Z1__g000691--FGSG_11984..FSPOR_3574","complement(27926..30704)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000692--FGSG_11986..FSPOR_3576","3249_Z1__g000692--FGSG_11986..FSPOR_3576","complement(31512..33131)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000693--FGSG_11987..FSPOR_3577","3249_Z1__g000693--FGSG_11987..FSPOR_3577","complement(34378..36166)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000694","3249_Z1__g000694","37129..41208","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000695--FGSG_11988..FSPOR_3578","3249_Z1__g000695--FGSG_11988..FSPOR_3578","41721..46594","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000696--FGSG_05339..FSPOR_3580","3249_Z1__g000696--FGSG_05339..FSPOR_3580","complement(51252..51974)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000697--FGSG_05340..FSPOR_382","3249_Z1__g000697--FGSG_05340..FSPOR_382","58362..60044","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000698--FGSG_05341..FSPOR_381","3249_Z1__g000698--FGSG_05341..FSPOR_381","complement(60690..61259)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000699--FGSG_05342..FSPOR_380","3249_Z1__g000699--FGSG_05342..FSPOR_380","63584..64662","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",1,"3249_Z1__g000700--FGSG_05343..FSPOR_379","3249_Z1__g000700--FGSG_05343..FSPOR_379","complement(65000..66277)","no","3249_Z1_len4762658.region001"
"NRRL3249","3249_Z1_len4762658",2,"BYE1","3249_Z1__g000717--FGSG_05364..FSPOR_363","complement(1160..3831)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"PRE9","3249_Z1__g000718--FGSG_05365..FSPOR_362","5077..6026","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"3249_Z1__g000719--FGSG_05366..FSPOR_361","3249_Z1__g000719--FGSG_05366..FSPOR_361","complement(6275..7328)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"3249_Z1__g000720--FGSG_05367..FSPOR_360","3249_Z1__g000720--FGSG_05367..FSPOR_360","8284..9996","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"3249_Z1__g000721--FGSG_05368..FSPOR_359","3249_Z1__g000721--FGSG_05368..FSPOR_359","complement(10102..11892)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"3249_Z1__g000722--FGSG_05369..FSPOR_358","3249_Z1__g000722--FGSG_05369..FSPOR_358","complement(14118..14822)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"3249_Z1__g000723--FGSG_05370..FSPOR_357","3249_Z1__g000723--FGSG_05370..FSPOR_357","complement(15356..18209)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"SID1","3249_Z1__g000724--FGSG_05371..FSPOR_356","complement(20001..21726)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"NPS2","3249_Z1__g000725--FGSG_05372..FSPOR_355","29409..44043","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"3249_Z1__g000726--FGSG_05373..FSPOR_354","3249_Z1__g000726--FGSG_05373..FSPOR_354","complement(44360..46873)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"3249_Z1__g000727--FGSG_05374..FSPOR_353","3249_Z1__g000727--FGSG_05374..FSPOR_353","complement(48308..49939)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"3249_Z1__g000728--FGSG_05375..FSPOR_352","3249_Z1__g000728--FGSG_05375..FSPOR_352","52829..54358","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"TFC4","3249_Z1__g000729--FGSG_05376..FSPOR_351","complement(54807..57924)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"VTS1","3249_Z1__g000730--FGSG_05377..FSPOR_350","complement(58688..60644)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",2,"rpl29","3249_Z1__g000731","complement(62016..62392)","no","3249_Z1_len4762658.region002"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001156--FGSG_12813..FSPOR_5052","3249_Z1__g001156--FGSG_12813..FSPOR_5052","complement(2694..5170)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001157--FGSG_12814..FSPOR_5051","3249_Z1__g001157--FGSG_12814..FSPOR_5051","complement(5712..7397)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001158--FGSG_05790..FSPOR_5048","3249_Z1__g001158--FGSG_05790..FSPOR_5048","12543..13271","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001159--FGSG_05791..FSPOR_5047","3249_Z1__g001159--FGSG_05791..FSPOR_5047","14037..15541","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001160--FGSG_05792..FSPOR_5046","3249_Z1__g001160--FGSG_05792..FSPOR_5046","complement(15730..17075)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001161--FGSG_05793..FSPOR_5045","3249_Z1__g001161--FGSG_05793..FSPOR_5045","19206..19774","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001162--FGSG_05794..FSPOR_5044","3249_Z1__g001162--FGSG_05794..FSPOR_5044","complement(20001..30044)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001163--FGSG_05795..FSPOR_5043","3249_Z1__g001163--FGSG_05795..FSPOR_5043","complement(30682..32241)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001164--FGSG_05796..FSPOR_5042","3249_Z1__g001164--FGSG_05796..FSPOR_5042","complement(32662..33819)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001165--FGSG_05797..FSPOR_5041","3249_Z1__g001165--FGSG_05797..FSPOR_5041","36199..38049","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001166--FGSG_05798..FSPOR_5040","3249_Z1__g001166--FGSG_05798..FSPOR_5040","complement(38455..40068)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001167","3249_Z1__g001167","complement(40912..41223)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001168--FGSG_05799..FSPOR_5039","3249_Z1__g001168--FGSG_05799..FSPOR_5039","complement(42138..42957)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001169--FGSG_05800..FSPOR_5038","3249_Z1__g001169--FGSG_05800..FSPOR_5038","complement(43400..45799)","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",3,"3249_Z1__g001170--FGSG_05801..FSPOR_5037","3249_Z1__g001170--FGSG_05801..FSPOR_5037","46463..48107","no","3249_Z1_len4762658.region003"
"NRRL3249","3249_Z1_len4762658",4,"GAS4","3249_Z1__g001405--FGSG_06037..FSPOR_9250","4304..5820","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"3249_Z1__g001406--FGSG_06038..FSPOR_9249","3249_Z1__g001406--FGSG_06038..FSPOR_9249","complement(6206..6592)","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"acl2_1","3249_Z1__g001407--FGSG_06039..FSPOR_9248","complement(7993..9830)","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"acl1","3249_Z1__g001408--FGSG_12857..FSPOR_9247","13324..15349","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"MRPL33","3249_Z1__g001409--FGSG_12858..FSPOR_9246","16248..16511","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"EAF3_1","3249_Z1__g001410--FGSG_14036..FSPOR_9245","complement(16976..18098)","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"EAF3_2","3249_Z1__g001411","complement(18564..19087)","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"LYS2","3249_Z1__g001412--FGSG_06041..FSPOR_9244","20001..23821","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"3249_Z1__g001413--FGSG_06042..FSPOR_9243","3249_Z1__g001413--FGSG_06042..FSPOR_9243","24315..24929","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"3249_Z1__g001414--FGSG_06043..FSPOR_9242","3249_Z1__g001414--FGSG_06043..FSPOR_9242","complement(25102..26020)","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"TAF12","3249_Z1__g001415--FGSG_06044..FSPOR_9241","27104..29243","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"RPN3","3249_Z1__g001416--FGSG_06045..FSPOR_9240","30295..32149","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"3249_Z1__g001417","3249_Z1__g001417","32726..32830","yes","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"3249_Z1__g001418","3249_Z1__g001418","32982..33081","yes","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"3249_Z1__g001419--FGSG_06046..FSPOR_9239","3249_Z1__g001419--FGSG_06046..FSPOR_9239","34166..36211","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"SAS2","3249_Z1__g001420--FGSG_06047..FSPOR_9238","36928..38957","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z1_len4762658",4,"3249_Z1__g001421--FGSG_06048..FSPOR_2306","3249_Z1__g001421--FGSG_06048..FSPOR_2306","41876..42499","no","3249_Z1_len4762658.region004"
"NRRL3249","3249_Z10_len1379680",1,"3249_Z10__g008590--FGSG_09383..FSPOR_6270","3249_Z10__g008590--FGSG_09383..FSPOR_6270","complement(1953..2692)","no","3249_Z10_len1379680.region001"
"NRRL3249","3249_Z10_len1379680",1,"3249_Z10__g008591--FGSG_09382..FSPOR_6271","3249_Z10__g008591--FGSG_09382..FSPOR_6271","7391..8891","no","3249_Z10_len1379680.region001"
"NRRL3249","3249_Z10_len1379680",1,"ERG9","3249_Z10__g008592--FGSG_09381..FSPOR_6272","complement(10001..11546)","no","3249_Z10_len1379680.region001"
"NRRL3249","3249_Z10_len1379680",1,"CAJ1","3249_Z10__g008593--FGSG_09380..FSPOR_6273","13663..15402","no","3249_Z10_len1379680.region001"
"NRRL3249","3249_Z10_len1379680",1,"3249_Z10__g008594--FGSG_09379..FSPOR_6274","3249_Z10__g008594--FGSG_09379..FSPOR_6274","complement(16458..18644)","no","3249_Z10_len1379680.region001"
"NRRL3249","3249_Z10_len1379680",2,"3249_Z10__g008787--FGSG_09191..FSPOR_145","3249_Z10__g008787--FGSG_09191..FSPOR_145","126..739","no","3249_Z10_len1379680.region002"
"NRRL3249","3249_Z10_len1379680",2,"3249_Z10__g008788","3249_Z10__g008788","complement(1109..1768)","no","3249_Z10_len1379680.region002"
"NRRL3249","3249_Z10_len1379680",2,"3249_Z10__g008789","3249_Z10__g008789","complement(2335..3324)","no","3249_Z10_len1379680.region002"
"NRRL3249","3249_Z10_len1379680",2,"3249_Z10__g008790--FGSG_09189..FSPOR_146","3249_Z10__g008790--FGSG_09189..FSPOR_146","complement(3813..5025)","no","3249_Z10_len1379680.region002"
"NRRL3249","3249_Z10_len1379680",2,"3249_Z10__g008791--FGSG_09188..FSPOR_147","3249_Z10__g008791--FGSG_09188..FSPOR_147","6213..7331","no","3249_Z10_len1379680.region002"
"NRRL3249","3249_Z10_len1379680",2,"FSR5","3249_Z10__g008792--FGSG_09187..FSPOR_148","8379..9179","no","3249_Z10_len1379680.region002"
"NRRL3249","3249_Z10_len1379680",2,"3249_Z10__g008793--FGSG_09186..FSPOR_149","3249_Z10__g008793--FGSG_09186..FSPOR_149","9936..11063","no","3249_Z10_len1379680.region002"
"NRRL3249","3249_Z10_len1379680",2,"3249_Z10__g008794--FGSG_09185..FSPOR_150","3249_Z10__g008794--FGSG_09185..FSPOR_150","11453..13209","no","3249_Z10_len1379680.region002"
"NRRL3249","3249_Z10_len1379680",2,"FSR3","3249_Z10__g008795--FGSG_09184..FSPOR_152","16005..17697","no","3249_Z10_len1379680.region002"
"NRRL3249","3249_Z10_len1379680",2,"FSR2","3249_Z10__g008796--FGSG_09183..FSPOR_153","complement(18117..19344)","no","3249_Z10_len1379680.region002"
