"Accession","chrm","region","locus_tag","gene","start_end_strand","excluded_from_cluster","cluster"
"NRRL3510","3510_Z1_len5549732",1,"3510_Z1__g000037--FGSG_12204..FSPOR_8049","3510_Z1__g000037--FGSG_12204..FSPOR_8049","complement(226..1271)","no","3510_Z1_len5549732.region001"
"NRRL3510","3510_Z1_len5549732",1,"3510_Z1__g000038--FGSG_08137..FSPOR_8051","3510_Z1__g000038--FGSG_08137..FSPOR_8051","complement(5688..6563)","no","3510_Z1_len5549732.region001"
"NRRL3510","3510_Z1_len5549732",1,"3510_Z1__g000039","3510_Z1__g000039","complement(15556..16684)","no","3510_Z1_len5549732.region001"
"NRRL3510","3510_Z1_len5549732",1,"3510_Z1__g000040","3510_Z1__g000040","17424..18825","no","3510_Z1_len5549732.region001"
"NRRL3510","3510_Z1_len5549732",1,"3510_Z1__g000041","3510_Z1__g000041","20001..24058","no","3510_Z1_len5549732.region001"
"NRRL3510","3510_Z1_len5549732",1,"3510_Z1__g000042","3510_Z1__g000042","24586..25287","no","3510_Z1_len5549732.region001"
"NRRL3510","3510_Z1_len5549732",1,"3510_Z1__g000043--FSPOR_8053","3510_Z1__g000043--FSPOR_8053","complement(29970..32002)","no","3510_Z1_len5549732.region001"
"NRRL3510","3510_Z1_len5549732",1,"3510_Z1__g000044--FGSG_04670..FSPOR_8054","3510_Z1__g000044--FGSG_04670..FSPOR_8054","complement(32627..34038)","no","3510_Z1_len5549732.region001"
"NRRL3510","3510_Z1_len5549732",1,"3510_Z1__g000045--FSPOR_8055","3510_Z1__g000045--FSPOR_8055","38195..38846","no","3510_Z1_len5549732.region001"
"NRRL3510","3510_Z1_len5549732",2,"3510_Z1__g000176--FGSG_09100..FSPOR_4330","3510_Z1__g000176--FGSG_09100..FSPOR_4330","1800..2135","no","3510_Z1_len5549732.region002"
"NRRL3510","3510_Z1_len5549732",2,"3510_Z1__g000177","3510_Z1__g000177","3514..3960","no","3510_Z1_len5549732.region002"
"NRRL3510","3510_Z1_len5549732",2,"3510_Z1__g000178--FGSG_04497..FSPOR_4331","3510_Z1__g000178--FGSG_04497..FSPOR_4331","4272..5402","no","3510_Z1_len5549732.region002"
"NRRL3510","3510_Z1_len5549732",2,"3510_Z1__g000179--FGSG_04501..FSPOR_4332","3510_Z1__g000179--FGSG_04501..FSPOR_4332","complement(6683..9325)","no","3510_Z1_len5549732.region002"
"NRRL3510","3510_Z1_len5549732",2,"3510_Z1__g000180--FGSG_09115..FSPOR_4333","3510_Z1__g000180--FGSG_09115..FSPOR_4333","complement(10314..11009)","no","3510_Z1_len5549732.region002"
