"Accession","cluster","chrm","region","locus_tag","gene","type","bb_type","start","end","strand"
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000266--FGSG_08791..FSPOR_8623","6477_Z1__g000266--FGSG_08791..FSPOR_8623","other","N/A",931389,934281,1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000267--FGSG_08792..FSPOR_8624","6477_Z1__g000267--FGSG_08792..FSPOR_8624","other","N/A",935506,935908,1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000268--FGSG_08793..FSPOR_8625","6477_Z1__g000268--FGSG_08793..FSPOR_8625","other","N/A",935973,936935,-1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000269--FGSG_08794..FSPOR_8626","6477_Z1__g000269--FGSG_08794..FSPOR_8626","transport","N/A",938768,940249,-1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000270--FGSG_08795..FSPOR_8627","6477_Z1__g000270--FGSG_08795..FSPOR_8627","biosynthetic","T1PKS",944464,951956,1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000272--FGSG_08796..FSPOR_8628","6477_Z1__g000272--FGSG_08796..FSPOR_8628","other","N/A",952832,954339,-1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000273--FGSG_08797..FSPOR_8629","6477_Z1__g000273--FGSG_08797..FSPOR_8629","other","N/A",956135,958173,1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000274--FGSG_08798..FSPOR_8630","6477_Z1__g000274--FGSG_08798..FSPOR_8630","other","N/A",959370,960953,-1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000275--FGSG_08799..FSPOR_8631","6477_Z1__g000275--FGSG_08799..FSPOR_8631","transport","N/A",962119,963747,1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000277--FGSG_08801..FSPOR_8633","6477_Z1__g000277--FGSG_08801..FSPOR_8633","other","N/A",968304,969156,1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"6477_Z1__g000278--FGSG_08802..FSPOR_8634","6477_Z1__g000278--FGSG_08802..FSPOR_8634","transport","N/A",969932,971348,1
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"YAP1","6477_Z1__g000276--FGSG_08800..FSPOR_8632","other","N/A",965649,967520,1
"NRRL6477","6477_Z1_len5435389.region002","6477_Z1_len5435389",2,"6477_Z1__g000732--FGSG_03063..FSPOR_4849","6477_Z1__g000732--FGSG_03063..FSPOR_4849","other","N/A",2364632,2366243,1
"NRRL6477","6477_Z1_len5435389.region002","6477_Z1_len5435389",2,"6477_Z1__g000733--FGSG_03064..FSPOR_4848","6477_Z1__g000733--FGSG_03064..FSPOR_4848","other","N/A",2366879,2367895,-1
"NRRL6477","6477_Z1_len5435389.region002","6477_Z1_len5435389",2,"6477_Z1__g000734--FGSG_03065..FSPOR_4847","6477_Z1__g000734--FGSG_03065..FSPOR_4847","biosynthetic-additional","N/A",2368773,2370675,-1
"NRRL6477","6477_Z1_len5435389.region002","6477_Z1_len5435389",2,"6477_Z1__g000735--FGSG_03066..FSPOR_4846","6477_Z1__g000735--FGSG_03066..FSPOR_4846","biosynthetic","terpene",2371271,2373294,-1
"NRRL6477","6477_Z1_len5435389.region002","6477_Z1_len5435389",2,"6477_Z1__g000736--FGSG_03067..FSPOR_4845","6477_Z1__g000736--FGSG_03067..FSPOR_4845","other","N/A",2374138,2376304,1
"NRRL6477","6477_Z1_len5435389.region002","6477_Z1_len5435389",2,"6477_Z1__g000737--FGSG_03068..FSPOR_4844","6477_Z1__g000737--FGSG_03068..FSPOR_4844","other","N/A",2376573,2378497,-1
"NRRL6477","6477_Z1_len5435389.region002","6477_Z1_len5435389",2,"6477_Z1__g000738--FGSG_03069..FSPOR_4843","6477_Z1__g000738--FGSG_03069..FSPOR_4843","other","N/A",2380033,2381118,-1
"NRRL6477","6477_Z1_len5435389.region002","6477_Z1_len5435389",2,"6477_Z1__g000739--FGSG_03070..FSPOR_4842","6477_Z1__g000739--FGSG_03070..FSPOR_4842","other","N/A",2382188,2382577,-1
"NRRL6477","6477_Z1_len5435389.region003","6477_Z1_len5435389",3,"6477_Z1__g000907--FGSG_03250..FSPOR_5880","6477_Z1__g000907--FGSG_03250..FSPOR_5880","other","N/A",2837270,2838693,1
