"Accession","cluster","chrm","region","product","product_category","backbone_locus_tag","backbone_gene","bb_type"
"NRRL6477","6477_Z1_len5435389.region001","6477_Z1_len5435389",1,"T1PKS","PKS","6477_Z1__g000270--FGSG_08795..FSPOR_8627","6477_Z1__g000270--FGSG_08795..FSPOR_8627","T1PKS"
"NRRL6477","6477_Z1_len5435389.region002","6477_Z1_len5435389",2,"terpene","terpene","6477_Z1__g000735--FGSG_03066..FSPOR_4846","6477_Z1__g000735--FGSG_03066..FSPOR_4846","terpene"
"NRRL6477","6477_Z1_len5435389.region003","6477_Z1_len5435389",3,"NRPS-like","NRPS","6477_Z1__g000912--FGSG_03257..FSPOR_5885","6477_Z1__g000912--FGSG_03257..FSPOR_5885","NRPS-like"
"NRRL6477","6477_Z1_len5435389.region004","6477_Z1_len5435389",4,"T1PKS","PKS","GPY1","6477_Z1__g000994--FGSG_03340..FSPOR_3725","T1PKS"
"NRRL6477","6477_Z1_len5435389.region005","6477_Z1_len5435389",5,"terpene","terpene","TRI5","6477_Z1__g001197--FGSG_03537..FSPOR_6147","terpene"
"NRRL6477","6477_Z1_len5435389.region006","6477_Z1_len5435389",6,"isocyanide-nrp;NRPS","NRPS","6477_Z1__g001406--FGSG_03736..FSPOR_1142//CDR1//NPS6","6477_Z1__g001406--FGSG_03736..FSPOR_1142//6477_Z1__g001405--FGSG_03735..FSPOR_1141//6477_Z1__g001419--FGSG_03747..FSPOR_1154","isocyanide-nrp//isocyanide-nrp//NRPS"
"NRRL6477","6477_Z1_len5435389.region007","6477_Z1_len5435389",7,"NRPS;T1PKS","PKS;NRPS","NRPS32//PKS40","6477_Z1__g001848--FGSG_13878..FSPOR_1018//6477_Z1__g001852--FSPOR_1014","NRPS//T1PKS"
"NRRL6477","6477_Z11_len1542866.region001","6477_Z11_len1542866",1,"NRPS","NRPS","6477_Z11__g009168--FGSG_10523..FSPOR_10925","6477_Z11__g009168--FGSG_10523..FSPOR_10925","NRPS"
"NRRL6477","6477_Z11_len1542866.region002","6477_Z11_len1542866",2,"NRPS-like","NRPS","6477_Z11__g009294--FGSG_10617..FSPOR_4494","6477_Z11__g009294--FGSG_10617..FSPOR_4494","NRPS-like"
"NRRL6477","6477_Z11_len1542866.region003","6477_Z11_len1542866",3,"CDPS","NRPS","6477_Z11__g009313--FGSG_04615..FSPOR_4516","6477_Z11__g009313--FGSG_04615..FSPOR_4516","CDPS"
"NRRL6477","6477_Z11_len1542866.region004","6477_Z11_len1542866",4,"NRPS-like;fungal-RiPP-like","RiPP;NRPS","6477_Z11__g009341--FGSG_02394..FSPOR_4542//6477_Z11__g009352--FGSG_04662..FSPOR_10239","6477_Z11__g009341--FGSG_02394..FSPOR_4542//6477_Z11__g009352--FGSG_04662..FSPOR_10239","NRPS-like//fungal-RiPP-like"
"NRRL6477","6477_Z12_len1519656.region001","6477_Z12_len1519656",1,"T1PKS","PKS","6477_Z12__g009363--FSPOR_10061","6477_Z12__g009363--FSPOR_10061","T1PKS"
"NRRL6477","6477_Z12_len1519656.region002","6477_Z12_len1519656",2,"NRPS","NRPS","CHRY1","6477_Z12__g009496--FGSG_11395..FSPOR_8219","NRPS"
"NRRL6477","6477_Z12_len1519656.region003","6477_Z12_len1519656",3,"terpene","terpene","6477_Z12__g009585--FGSG_11327..FSPOR_9122","6477_Z12__g009585--FGSG_11327..FSPOR_9122","terpene"
"NRRL6477","6477_Z12_len1519656.region004","6477_Z12_len1519656",4,"NRPS","NRPS","6477_Z12__g009856--FGSG_11026..FSPOR_4638","6477_Z12__g009856--FGSG_11026..FSPOR_4638","NRPS"
"NRRL6477","6477_Z12_len1519656.region005","6477_Z12_len1519656",5,"T1PKS;NRPS","PKS;NRPS","6477_Z12__g009899--FSPOR_4592","6477_Z12__g009899--FSPOR_4592","T1PKS;NRPS"
"NRRL6477","6477_Z13_len1408813.region001","6477_Z13_len1408813",1,"NRPS-like","NRPS","6477_Z13__g010044--FGSG_06462..FSPOR_389","6477_Z13__g010044--FGSG_06462..FSPOR_389","NRPS-like"
"NRRL6477","6477_Z13_len1408813.region002","6477_Z13_len1408813",2,"NRPS-like","NRPS","6477_Z13__g010086--FGSG_06507..FSPOR_3288","6477_Z13__g010086--FGSG_06507..FSPOR_3288","NRPS-like"
"NRRL6477","6477_Z13_len1408813.region003","6477_Z13_len1408813",3,"betalactone","other","6477_Z13__g010207--FGSG_12952..FSPOR_635//6477_Z13__g010210--FGSG_06631..FSPOR_637","6477_Z13__g010207--FGSG_12952..FSPOR_635//6477_Z13__g010210--FGSG_06631..FSPOR_637","betalactone//betalactone"
"NRRL6477","6477_Z14_len1234751.region001","6477_Z14_len1234751",1,"terpene","terpene","6477_Z14__g010523--FGSG_10097..FSPOR_2743","6477_Z14__g010523--FGSG_10097..FSPOR_2743","terpene"
"NRRL6477","6477_Z15_len1185119.region001","6477_Z15_len1185119",1,"terpene","terpene","CLM1","6477_Z15__g010805--FGSG_10397..FSPOR_7566","terpene"
"NRRL6477","6477_Z15_len1185119.region002","6477_Z15_len1185119",2,"NRPS","NRPS","APF1","6477_Z15__g010817--FSPOR_5258","NRPS"
"NRRL6477","6477_Z15_len1185119.region003","6477_Z15_len1185119",3,"NRPS-like","NRPS","6477_Z15__g010869--FGSG_10702..FSPOR_6465","6477_Z15__g010869--FGSG_10702..FSPOR_6465","NRPS-like"
"NRRL6477","6477_Z15_len1185119.region004","6477_Z15_len1185119",4,"NRPS","NRPS","6477_Z15__g010910--FSPOR_9288","6477_Z15__g010910--FSPOR_9288","NRPS"
"NRRL6477","6477_Z15_len1185119.region005","6477_Z15_len1185119",5,"NRPS-like","NRPS","6477_Z15__g010998--FSPOR_8561","6477_Z15__g010998--FSPOR_8561","NRPS-like"
"NRRL6477","6477_Z17_len582469.region001","6477_Z17_len582469",1,"NRPS;T1PKS","PKS;NRPS","6477_Z17__g011203//6477_Z17__g011212","6477_Z17__g011203//6477_Z17__g011212","NRPS//T1PKS"
"NRRL6477","6477_Z18_len579297.region001","6477_Z18_len579297",1,"NRPS","NRPS","6477_Z18__g011386--FGSG_13394..FSPOR_10995","6477_Z18__g011386--FGSG_13394..FSPOR_10995","NRPS"
"NRRL6477","6477_Z18_len579297.region002","6477_Z18_len579297",2,"isocyanide;NRPS;T1PKS","other;NRPS;PKS","6477_Z18__g011469--FGSG_08227..FSPOR_6083//NRPS7//PKS6","6477_Z18__g011469--FGSG_08227..FSPOR_6083//6477_Z18__g011482--FGSG_08209..FSPOR_6069//6477_Z18__g011483--FGSG_08208..FSPOR_6068","isocyanide//NRPS//T1PKS"
"NRRL6477","6477_Z18_len579297.region003","6477_Z18_len579297",3,"isocyanide-nrp;terpene","terpene;NRPS","6477_Z18__g011502--FGSG_08185..FSPOR_6050//6477_Z18__g011503--FGSG_08184..FSPOR_6049//6477_Z18__g011506--FGSG_08181..FSPOR_6046","6477_Z18__g011502--FGSG_08185..FSPOR_6050//6477_Z18__g011503--FGSG_08184..FSPOR_6049//6477_Z18__g011506--FGSG_08181..FSPOR_6046","isocyanide-nrp//isocyanide-nrp//terpene"
"NRRL6477","6477_Z2_len4026043.region001","6477_Z2_len4026043",1,"terpene","terpene","6477_Z2__g002662--FGSG_00451..FSPOR_10181","6477_Z2__g002662--FGSG_00451..FSPOR_10181","terpene"
"NRRL6477","6477_Z2_len4026043.region002","6477_Z2_len4026043",2,"isocyanide","other","6477_Z2__g003031--FSPOR_8887","6477_Z2__g003031--FSPOR_8887","isocyanide"
"NRRL6477","6477_Z21_len264541.region001","6477_Z21_len264541",1,"T1PKS","PKS","6477_Z21__g011841--FGSG_01790..FSPOR_2675","6477_Z21__g011841--FGSG_01790..FSPOR_2675","T1PKS"
"NRRL6477","6477_Z23_len236378.region001","6477_Z23_len236378",1,"T3PKS","PKS","6477_Z23__g011982--FGSG_08378..FSPOR_3526","6477_Z23__g011982--FGSG_08378..FSPOR_3526","T3PKS"
"NRRL6477","6477_Z3_len3101840.region001","6477_Z3_len3101840",1,"terpene","terpene","6477_Z3__g003311--FGSG_07673..FSPOR_1775","6477_Z3__g003311--FGSG_07673..FSPOR_1775","terpene"
"NRRL6477","6477_Z3_len3101840.region002","6477_Z3_len3101840",2,"NRPS","NRPS","BEA1","6477_Z3__g003374--FSPOR_1714","NRPS"
"NRRL6477","6477_Z3_len3101840.region003","6477_Z3_len3101840",3,"NRPS;T1PKS","PKS;NRPS","FUS1","6477_Z3__g003423--FGSG_07798..FSPOR_1668","NRPS;T1PKS"
"NRRL6477","6477_Z3_len3101840.region004","6477_Z3_len3101840",4,"fungal-RiPP-like","RiPP","6477_Z3__g004029--FGSG_07066..FSPOR_9612","6477_Z3__g004029--FGSG_07066..FSPOR_9612","fungal-RiPP-like"
"NRRL6477","6477_Z4_len2618018.region001","6477_Z4_len2618018",1,"NRP-metallophore;NRPS","NRPS","NPS2//SID1","6477_Z4__g004140--FGSG_05372..FSPOR_355//6477_Z4__g004139--FGSG_05371..FSPOR_356","NRP-metallophore;NRPS//NRP-metallophore"
"NRRL6477","6477_Z4_len2618018.region002","6477_Z4_len2618018",2,"T1PKS","PKS","6477_Z4__g004575--FGSG_05794..FSPOR_5044","6477_Z4__g004575--FGSG_05794..FSPOR_5044","T1PKS"
"NRRL6477","6477_Z4_len2618018.region003","6477_Z4_len2618018",3,"NRPS-like","NRPS","LYS2","6477_Z4__g004824--FGSG_06041..FSPOR_9244","NRPS-like"
"NRRL6477","6477_Z5_len2599593.region001","6477_Z5_len2599593",1,"T1PKS","PKS","FSR1","6477_Z5__g005209--FGSG_09182..FSPOR_154","T1PKS"
"NRRL6477","6477_Z5_len2599593.region002","6477_Z5_len2599593",2,"terpene","terpene","ERG6_2","6477_Z5__g005416--FGSG_09381..FSPOR_6272","terpene"
"NRRL6477","6477_Z6_len2456035.region001","6477_Z6_len2456035",1,"T1PKS;NRPS","PKS;NRPS","6477_Z6__g006294--FGSG_02315..FSPOR_6887//PKS12","6477_Z6__g006294--FGSG_02315..FSPOR_6887//6477_Z6__g006287--FGSG_02324..FSPOR_6894","NRPS//T1PKS"
"NRRL6477","6477_Z6_len2456035.region002","6477_Z6_len2456035",2,"NRPS-like","NRPS","6477_Z6__g006347--FGSG_02251..FSPOR_6823","6477_Z6__g006347--FGSG_02251..FSPOR_6823","NRPS-like"
"NRRL6477","6477_Z7_len2073932.region001","6477_Z7_len2073932",1,"NRPS-like;NRPS","NRPS","6477_Z7__g007303--FGSG_01680..FSPOR_3572//6477_Z7__g007309--FGSG_11988..FSPOR_3578","6477_Z7__g007303--FGSG_01680..FSPOR_3572//6477_Z7__g007309--FGSG_11988..FSPOR_3578","NRPS-like//NRPS"
