"Accession","cluster","chrm","region","locus_tag","gene","type","bb_type","start","end","strand"
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"3510_Z1__g000037--FGSG_12204..FSPOR_8049","3510_Z1__g000037--FGSG_12204..FSPOR_8049","transport","N/A",146269,147314,-1
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"3510_Z1__g000038--FGSG_08137..FSPOR_8051","3510_Z1__g000038--FGSG_08137..FSPOR_8051","other","N/A",151731,152606,-1
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"3510_Z1__g000039","3510_Z1__g000039","biosynthetic-additional","N/A",161599,162727,-1
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"3510_Z1__g000040","3510_Z1__g000040","biosynthetic-additional","N/A",163467,164868,1
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"3510_Z1__g000041","3510_Z1__g000041","biosynthetic","NRPS-like",166044,170101,1
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"3510_Z1__g000042","3510_Z1__g000042","other","N/A",170629,171330,1
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"3510_Z1__g000043--FSPOR_8053","3510_Z1__g000043--FSPOR_8053","other","N/A",176013,178045,-1
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"3510_Z1__g000044--FGSG_04670..FSPOR_8054","3510_Z1__g000044--FGSG_04670..FSPOR_8054","biosynthetic-additional","N/A",178670,180081,-1
"NRRL3510","3510_Z1_len5549732.region001","3510_Z1_len5549732",1,"3510_Z1__g000045--FSPOR_8055","3510_Z1__g000045--FSPOR_8055","other","N/A",184238,184889,1
"NRRL3510","3510_Z1_len5549732.region002","3510_Z1_len5549732",2,"3510_Z1__g000176--FGSG_09100..FSPOR_4330","3510_Z1__g000176--FGSG_09100..FSPOR_4330","other","N/A",619567,619902,1
"NRRL3510","3510_Z1_len5549732.region002","3510_Z1_len5549732",2,"3510_Z1__g000177","3510_Z1__g000177","other","N/A",621281,621727,1
"NRRL3510","3510_Z1_len5549732.region002","3510_Z1_len5549732",2,"3510_Z1__g000178--FGSG_04497..FSPOR_4331","3510_Z1__g000178--FGSG_04497..FSPOR_4331","other","N/A",622039,623169,1
"NRRL3510","3510_Z1_len5549732.region002","3510_Z1_len5549732",2,"3510_Z1__g000179--FGSG_04501..FSPOR_4332","3510_Z1__g000179--FGSG_04501..FSPOR_4332","other","N/A",624450,627092,-1
"NRRL3510","3510_Z1_len5549732.region002","3510_Z1_len5549732",2,"3510_Z1__g000180--FGSG_09115..FSPOR_4333","3510_Z1__g000180--FGSG_09115..FSPOR_4333","other","N/A",628081,628776,-1
"NRRL3510","3510_Z1_len5549732.region002","3510_Z1_len5549732",2,"3510_Z1__g000181","3510_Z1__g000181","other","N/A",630410,630979,1
"NRRL3510","3510_Z1_len5549732.region002","3510_Z1_len5549732",2,"3510_Z1__g000182--FGSG_11242..FSPOR_4336","3510_Z1__g000182--FGSG_11242..FSPOR_4336","biosynthetic","NI-siderophore",631768,634772,-1
"NRRL3510","3510_Z1_len5549732.region002","3510_Z1_len5549732",2,"3510_Z1__g000183--FSPOR_4338","3510_Z1__g000183--FSPOR_4338","other","N/A",640547,641140,-1
"NRRL3510","3510_Z1_len5549732.region003","3510_Z1_len5549732",3,"3510_Z1__g000717--FGSG_03970..FSPOR_9815","3510_Z1__g000717--FGSG_03970..FSPOR_9815","other","N/A",2304456,2304725,-1
"NRRL3510","3510_Z1_len5549732.region003","3510_Z1_len5549732",3,"3510_Z1__g000718--FGSG_03969..FSPOR_9814","3510_Z1__g000718--FGSG_03969..FSPOR_9814","other","N/A",2312589,2313914,1
"NRRL3510","3510_Z1_len5549732.region003","3510_Z1_len5549732",3,"3510_Z1__g000719--FGSG_03968..FSPOR_9813","3510_Z1__g000719--FGSG_03968..FSPOR_9813","other","N/A",2314414,2315427,-1
"NRRL3510","3510_Z1_len5549732.region003","3510_Z1_len5549732",3,"3510_Z1__g000720--FGSG_03966..FSPOR_9812","3510_Z1__g000720--FGSG_03966..FSPOR_9812","other","N/A",2317521,2319829,-1
"NRRL3510","3510_Z1_len5549732.region003","3510_Z1_len5549732",3,"3510_Z1__g000721--FSPOR_9811","3510_Z1__g000721--FSPOR_9811","biosynthetic-additional","N/A",2321355,2322778,1
"NRRL3510","3510_Z1_len5549732.region003","3510_Z1_len5549732",3,"3510_Z1__g000722","3510_Z1__g000722","other","N/A",2322881,2324333,-1
