Assembly	scaffolds
# contigs (>= 0 bp)	3799
# contigs (>= 1000 bp)	125
# contigs (>= 5000 bp)	17
# contigs (>= 10000 bp)	10
# contigs (>= 25000 bp)	9
# contigs (>= 50000 bp)	9
Total length (>= 0 bp)	39362780
Total length (>= 1000 bp)	37980060
Total length (>= 5000 bp)	37768441
Total length (>= 10000 bp)	37722432
Total length (>= 25000 bp)	37711369
Total length (>= 50000 bp)	37711369
# contigs	576
Largest contig	11706594
Total length	38267229
Reference length	37952898
GC (%)	47.91
Reference GC (%)	47.95
N50	4701601
NG50	4701601
N90	2998061
NG90	2998061
auN	6226119.0
auNG	6277684.6
L50	3
LG50	3
L90	7
LG90	7
# misassemblies	191
# misassembled contigs	11
Misassembled contigs length	37712650
# local misassemblies	196
# scaffold gap ext. mis.	1
# scaffold gap loc. mis.	6
# unaligned mis. contigs	1
# unaligned contigs	411 + 16 part
Unaligned length	2372793
Genome fraction (%)	94.551
Duplication ratio	1.000
# N's per 100 kbp	1.37
# mismatches per 100 kbp	960.48
# indels per 100 kbp	51.15
# genomic features	79973 + 476 part
Largest alignment	3331185
Total aligned length	35891148
NA50	811987
NGA50	907415
NA90	35977
NGA90	41981
auNA	1080687.9
auNGA	1089638.3
LA50	13
LGA50	12
LA90	99
LGA90	91
