Assembly	scaffolds
# contigs (>= 0 bp)	2225
# contigs (>= 1000 bp)	67
# contigs (>= 5000 bp)	20
# contigs (>= 10000 bp)	17
# contigs (>= 25000 bp)	15
# contigs (>= 50000 bp)	14
Total length (>= 0 bp)	38878044
Total length (>= 1000 bp)	38073396
Total length (>= 5000 bp)	37997350
Total length (>= 10000 bp)	37981122
Total length (>= 25000 bp)	37955533
Total length (>= 50000 bp)	37929066
# contigs	324
Largest contig	7347288
Total length	38238711
Reference length	37952898
GC (%)	47.91
Reference GC (%)	47.95
N50	3984535
NG50	3984535
N90	1293009
NG90	1293009
auN	4292176.2
auNG	4324499.4
L50	4
LG50	4
L90	9
LG90	9
# misassemblies	172
# misassembled contigs	12
Misassembled contigs length	36882267
# local misassemblies	174
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	7
# unaligned mis. contigs	1
# unaligned contigs	238 + 14 part
Unaligned length	2095051
Genome fraction (%)	95.199
Duplication ratio	1.000
# N's per 100 kbp	1.35
# mismatches per 100 kbp	819.25
# indels per 100 kbp	43.78
# genomic features	80341 + 442 part
Largest alignment	2609149
Total aligned length	36142160
NA50	765829
NGA50	765829
NA90	46635
NGA90	54706
auNA	919142.8
auNGA	926064.6
LA50	14
LGA50	14
LA90	86
LGA90	81
